,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
0,doc 1,reason,industri,observ,technolog,hype ad nauseam for year,quick turn-up time,wavelength servic,lukewarm recept,confus,wait
1,doc 2,market,posit,cash in today,nuvox commun posit,nuvox,long run,fund,stay power,today,credit
2,doc 3,telecom industri,director,observ,industri,optim,invest,compani,manag,network,seen infus of insid invest
3,doc 4,uncertainti,feedback control,robust,simul,engin,stabil,linear,dynam,control,adapt robust state feedback control
4,doc 5,slide mode control,simul result,discret,output,sensit,simul,control,design,slide mode,switch line
5,doc 6,throughput,transport,autom,benefit,deliveri,continu,perform,simul,softwar,technolog
6,doc 7,resolut,desir,effici,structur,mechan,technolog,measur,gener,control,design
7,doc 8,tune,desir,approxim,function,perform,model,gener,tune of membership function,parametr class of conjunct,tune of parametr conjunct oper
8,doc 9,transpar,viabil,identif,benchmark,neural network,avail,complex,addit,model,compon
9,doc 10,aggreg,weight,learn,measur,function,gener,use of parametr function,known arbitrari gener f,weight mean,quasi-weight mean
10,doc 11,price,uncertainti,indic,comput,knowledg,implement,model,gener,string of input symbol,gener of classic automata
11,doc 12,fuzzi logic,uncertainti,simul experi,output,iter,simul,experi,comput,perform,design
12,doc 13,dynam topolog,neural network,genet algorithm,polynomi,experiment result,organ,accuraci,structur,topolog,approxim
13,doc 14,accuraci,reduct,identif,select,approxim,experi,model,function,implement,perform
14,doc 15,radial basi function neural network,interpol,engin,neural network,perform,learn,approxim,function,chang,model
15,doc 16,comput complex,data set,complex,optim,standard,effici,comput,implement,standard membership updat equat,extens principl
16,doc 17,feedback control,output,minim,simul,interact,compon,control,model,chang,singl loop fuzzi control
17,doc 18,pid control,genet algorithm,specif,valid,coupl,robust,design,control,optim,gener
18,doc 19,fault diagnosi,genet algorithm,observ,search,engin,addit,mechan,integr,compon,model
19,doc 20,pid control,control strategi,temperatur,regul,product,desir,util,robust,integr,model
20,doc 21,pid control,time delay,numer method,desir,delay,stabil,design,optim,control,term of time-domain respons
21,doc 22,standard,answer,continu,document,industri,control,gener,inform,standard set of symbol,isa dictionari definit for p
22,doc 23,complex,select,control,implement,knowledg,function,model,design,process event incorpor expert,propos supervisori control scheme
23,doc 24,pid control,genet algorithm,tune,simul,experiment result,perform,dynam,control,design,correspond perform assess rule
24,doc 25,output,benchmark,profit,matric,perform,control,linear,optim,implement,model
25,doc 26,review,continu,librari,chang,program,materi for new cours,out-of-print materi,gap in collect,copi,collect
26,doc 27,pilot project,statist,review,univers,program,librari,implement,result of enthusiast patron comment,patron,result patron comment
27,doc 28,music,publish,vendor,industri,perform,success acquisit of out-of-print music,appropri technic music vocabulari,print,method of acquisit,out-of-print
28,doc 29,neural network,encod,sensit,learn,sequenc,posit,weight,network,knowledg,machin
29,doc 30,classif,experiment result,cluster,probabl,indic,train,classifi,learn,model,gener
30,doc 31,artifici neural network,embed,linear,output,converg,continu,separ,neural network,comput,distribut
