,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,uddi,registri,uddi registri,dht,industri standard for web-servic discoveri,dude architectur for scalabl distribut,autonom control,grid servic discoveri grid comput,scalabl grid servic discoveri,distribut web-servic discoveri architectur,distribut uddi deploy engin,distribut hash tabl,web servic,need for servic discoveri,larger support for multi-registri environ
1,doc 2,processor,weight averag effici,tradit parallel machin like cluster,weight averag,node,resourc select,approach yield major perform improv,monitor period,internet backbon,network link,higher prioriti,cluster,resourc,tradit parallel comput,adapt
2,doc 3,packet,best effort,user-level object speech qualiti metric,loss,object speech qualiti metric,frame,burst loss,result for actual perceiv qualiti,best effort packet,perceptu qualiti for loss recoveri,speech qualiti,packet loss,intra-flow loss recoveri,voic,object speech qualiti
3,doc 4,content manag,content,continu media,storag,polici,need for content manag,spectrum architectur,forgotten content wast storag,network for effici applic access,continu media content,spectrum,polici manag,typic use case manipul,manag content,digit video record
4,doc 5,document state,ot algorithm,oper,oper context,context-bas oper transform oper transform,transform oper,transform,document,techniqu for consist mainten,invers oper,undo,cot algorithm,theoret framework,better understand,context
5,doc 6,servic,environ for decentr adapt servic,servic environ,resourc manag,resourc,environ,adapt servic,grid-lik infrastructur,eda,current grid comput infrastructur,fragment object,infrastructur for long-term servic,grid comput,migrat,node
6,doc 7,sensor,target,target detect,detect,approach for sequenti deploy,path,prob,path exposur,region for traffic travers,exposur,sensor network,deploy,decis fusion,definit for path exposur,collabor target detect
7,doc 8,conferenc,confer,virtual conferenc environ real-tim servic,audio,sip capabl for signal purpos,client,virtual conferenc environ,floor control,audio confer,voip,deploy issu,characterist separ tradit data,audio servic framework,loud number,network
8,doc 9,worm,swarm worm,swarm,emerg intellig,swarm use simpl local rule,infect,host,zachik worm,consid swarm worm,intern comput scienc institut,lawrenc berkeley nation laboratori,vulner internet host,infect host,distribut control,vulner host
9,doc 10,protocol modul,servic interfac,protocol framework,modul,protocol,adapt group commun middlewar,service-bas protocol framework,stack,new abstract for implement,event-bas framework,special object for indirect commun,differ machin protocol stack,adapt group commun,new approach,event-bas protocol framework
10,doc 11,data center,migrat,server migrat,wide area,design for live servic migrat,internet for mission critic busi,virtual server,live server migrat,disk storag for store data,wide area network,context awar approach,mainten event,lan environ,data center wide mainten oper,data center migrat
11,doc 12,mobil object,metric,metric collect,mobil object framework,mobil applic,object,specif compon includ host manag,mobjex,adapt,softwar metric,onlin metric collect strategi,runtim,solut for dynam metric collect,memori usag effect adapt,solut
12,doc 13,data grid,data,slowest server,server,replica,idl time,grid,co-alloc architectur,grid environ,storag resourc,data transfer complet time,faster server,download,data grid environ,large-s dataset manag problem
13,doc 14,sensor node,sensor,node,local,wireless sensor node,high accuraci,cost,sensor network,cost for tini sensor node,network,spotlight,locat,devic,sophist hardwar,effect rang
14,doc 15,blast,grid,alloc polici,self schedul,task alloc,n s,sequenc,adapt multi-polici grid servic,adapt task alloc framework,alloc,describ alloc polici for grid,work unit,align,blast search,task alloc strategi
15,doc 16,trial structur,optim trial structur,molecular conform space search program,load imbal,automat initializ modul,grid environ,trial structur optim,reliabl conform space search program,grid-en molecular conform search program,structur optim,worker program,worker,calcul trial structur optim,conflex-g,initi state for subsequ rpc
