,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,uddi,registri,dht,uddi registri,autonom control,avail,result,servic discoveri,grid,servic,proxi registri,discoveri,system,scalabl issu,dude
1,doc 2,processor,weight averag,perform model,grid,resourc,model,grid environ,weight averag effici,resourc select,node,resourc set,averag effici,environ,monitor period,approach
2,doc 3,packet,best effort,speech qualiti,conceal,frame,voic,protect,speech,burst,codec,perceptu,flow,decod,end-to-end,inform
3,doc 4,content manag,continu media,spectrum,spectrum architectur,video record,storag,polici,polici manag,media,time,network,record,devic,manag,store
4,doc 5,document state,ot algorithm,consist mainten,cot algorithm,undo,cot,collabor applic,oper context,invers oper,applic,work,captur essenti,transform function,better understand,number
5,doc 6,servic environ,node,servic,decentr adapt,eda,resourc manag,resourc,fragment object,migrat,decentr,system,decentr adapt servic,adapt servic,model,environ
6,doc 7,sensor,exposur,fals alarm,deploy,sensor deploy,network,sensor network,region,target detect,number,simul,fals alarm probabl,alarm probabl,result,target
7,doc 8,confer,packet,client,audio,conferenc,sip,nmax,system,confer server,floor control,time,stream,conferenc system,loud number,network
8,doc 9,worm,swarm worm,swarm,algorithm,password,infect,agent,zachik,host,distribut control,result,strategi,magnitud faster,like biolog,preliminari result
9,doc 10,servic interfac,protocol modul,modul,protocol framework,stack,protocol,service-bas,event-bas,updat,event,dynam updat,servic,interfac,network,event-bas framework
10,doc 11,data center,migrat,virtual server,server,server migrat,servic,replic,wide area,avail,center,high avail,concern for internet-bas,internet,storag,outag
11,doc 12,adapt engin,metric,mobil object,metric collect,mobil,inform,model entiti,host manag,collect overhead,execut time,push,adapt,exampl,worst case,mobjex
12,doc 13,wait for the slowest,co-alloc,data grid,replica,replica select,data transfer,grid,server,load balanc,replica server,file,wait for the slowest server,block,transfer,number
13,doc 14,sensor node,spotlight devic,local error,spotlight,area cover,cost,result,number,point scan,sensor network,sensor,xsm mote,line scan,exist,inform
14,doc 15,alloc polici,node,blast,work unit,grid node,packageblast,grid,execut time,alloc strategi,alloc,databas segment,blast search,databas,master,slave
15,doc 16,trial structur,conflex-g,omnirpc,load imbal,worker program,conflex,grid environ,worker,unnecessari commun,remot execut,commun,elimin unnecessari commun,rpc,trial,conform space
16,doc 17,bullet,bloom filter,summari ticket,network,rout,disjoint data,miss data,sourc,overlay tree,overlay,rest,receiv data,bandwidth data,random subset,enabl node
