,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,uddi,registri,uddi registri,autonom control,dht,industri standard for web-servic discoveri,dude architectur for scalabl distribut,servic discoveri mechan,scalabl grid servic discoveri,scalabl issu,grid comput,distribut web-servic discoveri architectur,distribut uddi deploy engin,dude architectur,proxi registri
1,doc 2,processor,weight averag effici,weight averag,resourc select,perform model,tradit parallel machin like cluster,resourc set,node,grid environ,resourc,approach yield major perform improv,applic run,monitor period,signific perform improv,grid
2,doc 3,packet,best effort,speech qualiti,user-level object speech qualiti metric,loss conceal,taxonomi for differ enhanc approach,loss,object speech qualiti metric,conceal,packet loss,object speech qualiti measur,speech signal,frame,tempor sensit,perceptu distort
3,doc 4,content manag,continu media,spectrum architectur,continu media content,spectrum,digit video record,polici manag,storag,polici,network for effici applic access,content,roll window,manag content,person video record,manag
4,doc 5,document state,ot algorithm,oper context,better understand,cot algorithm,consist mainten,context-bas oper transform oper transform,invers oper,undo,transform oper,transform function,cot,transform o,essenti condit for correct it-transform,gener collabor engin
5,doc 6,servic environ,servic,decentr adapt servic,environ for decentr adapt servic,resourc manag,node,resourc,fragment object,eda,adapt servic,fragment object model,current grid comput infrastructur,migrat,resourc demand,home environ
6,doc 7,sensor,exposur,fals alarm probabl,target detect,deploy,deploy sensor,fals alarm rate,region for traffic travers,analyt basi for evalu exposur,approach for sequenti deploy,sensor network,definit for path exposur,region,n sensor,path exposur
7,doc 8,confer,packet,virtual conferenc environ,virtual conferenc environ real-tim servic,sip capabl for signal purpos,client,confer server,audio,conferenc,floor control,loud number,sip,popular standard for voip deploy,characterist separ tradit data,conferenc environ
8,doc 9,worm,swarm worm,swarm,swarm use simpl local rule,password,emerg intellig,infect,distribut control,agent,intern comput scienc institut,lawrenc berkeley nation laboratori,gener worm,preliminari result,local area network,consid swarm worm
9,doc 10,protocol modul,servic interfac,protocol framework,modul,protocol,adapt group commun middlewar,stack,service-bas protocol framework,special object for indirect commun,event-bas framework,new abstract for implement,adapt group commun,event,new approach,protocol stack
10,doc 11,data center,migrat,server migrat,wide area,virtual server,tight recoveri point object,dynam storag replic technolog,internet for mission critic busi,wide area network,disk storag for store data,data center migrat,server,design for live servic migrat,server virtual technolog,replic
11,doc 12,metric,adapt engin,metric collect,mobil object,onlin metric collect strategi,mobil object framework,specif compon includ host manag,worst case perform,collect overhead,host manag,solut for dynam metric collect,worst case,mobil,reduc collect overhead,metric collect strategi
12,doc 13,co-alloc,data grid,replica,replica select,data transfer,server,variou client-serv link,data grid environ,replica server,slowest server,co-alloc grid data transfer architectur,co-alloc strategi,recursive-adjust co-alloc,co-alloc architectur,faster server
13,doc 14,sensor node,spotlight devic,local error,spotlight,cost for tini sensor node,xsm mote,area cover,wireless sensor network,event distribut function,sensor network,point scan event distribut function,line scan event distribut function,point scan,range-fre local scheme,perfect linear error correct code
14,doc 15,alloc polici,work unit,blast,adapt multi-polici grid servic,node,databas segment,grid node,grid,alloc strategi,packageblast,blast search,execut time,adapt task alloc framework,grid node execut weight,self schedul
15,doc 16,trial structur,conflex-g,omnirpc,conform space search,worker program,molecular conform space search program,load imbal,optim trial structur,trial structur optim,molecular mechan,grid environ,reliabl conform space search program,automat initializ modul,remot execut,restrict persist model
