,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,hyarm,video,resourc,resourc util,uav,dre,qo requir,end receiv,multimedia,base station,util,applic,station,compress,video encod
1,doc 2,tigr,enkf,gridway,grid,job,licens,ensembl,grid-en,eclips,mpi,geolog model,cluster,simul,metaschedul,site
2,doc 3,msp,sensor,sensor node,node,event,node sequenc,local,outdoor,local accuraci,sequenc,locat,one-dimension node sequenc,accuraci,outdoor environ,node local
3,doc 4,sensor,sensor node,node,local,stardust,wsn,locat,sensor network,rang,wireless sensor network,framework,retro-reflector,stardust framework,deploy,node id
4,doc 5,sensor,skip graph,proxi,skip,interv,tsar,data,index,queri,flash,summari,lookup,storag,interv skip graph,graph
5,doc 6,dim,queri,rang queri,event,multi-dimension rang queri,sensor network,network,sensor,rang,temperatur,attribut,queri cost,insert,data structur,data
6,doc 7,node,contact,rout protocol,messag,mobil,protocol,opportunist network,rout,network,mobil opportunist network,probabl,destin,node j,deliveri,link-stat
7,doc 8,cenwit,sensor,rescu,connect network,network,connect,transmitt,satellit,locat,memori,area,locat track,locat inform,wit,power
8,doc 9,dr vector,error,receiv,export,vector,export error,player,sender,dri,schedul,base case,delay,err,game,time
9,doc 10,gs-dr-ll,inconsist,site,lag,gs-dr,network transmiss delay,network transmiss,transmiss,remot site,state updat,entiti,delay,state,pixel,site j
10,doc 11,client,sand,server,appoint,spatial,browser,data,internet browser,client-serv,databas,sand internet browser,spatial databas,internet,activ client,queri
11,doc 12,locat,sensor,group,user,symbol locat,context,symbol,group interact,messeng,proxim,giss,context inform,chapter,fusion,inform
12,doc 13,prime,process,execut,activ,process coordin,control,findprim,group,parfor,group manag,process execut,int,prime number,grid,activ manag
13,doc 14,cglf,congest,resourc,strategi profil,hz e,profil,agent,strategi,congest game,game,potenti function,pure strategi,ds-stabl,failur probabl,failur
14,doc 15,aggreg,node,probe,attribut,sdim,aggreg valu,dht,aggreg function,tree,mib,instal,adht,virtual node,valu,updat
15,doc 16,client,game,server,player,proxi,region,author,movement,commun proxi,architectur,game space,mmog,state inform,state,updat
16,doc 17,monitor,contract,path,node,isp,qualiti,innov,punish,rest of path,cheat,rout,data path,hop,cheater,proof
