,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
0,doc 1,uddi,registri,uddi registri,autonom control,industri standard for web-servic discoveri,dht,dude architectur for scalabl distribut,servic discoveri mechan,scalabl grid servic discoveri,distribut web-servic discoveri architectur
1,doc 2,weight averag effici,processor,weight averag,perform model,resourc select,tradit parallel machin like cluster,resourc set,node,approach yield major perform improv,grid environ
2,doc 3,packet,best effort,user-level object speech qualiti metric,speech qualiti,taxonomi for differ enhanc approach,object speech qualiti metric,loss conceal,object speech qualiti measur,packet loss,signific speech qualiti improv
3,doc 4,content manag,continu media,spectrum architectur,continu media content,digit video record,network for effici applic access,spectrum,polici manag,person video record,roll window
4,doc 5,document state,better understand,context-bas oper transform oper transform,ot algorithm,consist mainten,cot algorithm,oper context,invers oper,essenti condit for correct it-transform,transform function
5,doc 6,servic environ,servic,decentr adapt servic,environ for decentr adapt servic,node,resourc manag,fragment object,resourc,adapt servic,eda
6,doc 7,sensor,fals alarm probabl,exposur,target detect,fals alarm rate,deploy sensor,region for traffic travers,approach for sequenti deploy,analyt basi for evalu exposur,deploy
7,doc 8,virtual conferenc environ real-tim servic,sip capabl for signal purpos,virtual conferenc environ,confer,packet,confer server,client,popular standard for voip deploy,floor control,audio
8,doc 9,worm,swarm worm,swarm,swarm use simpl local rule,agent,emerg intellig,intern comput scienc institut,lawrenc berkeley nation laboratori,distribut control,password
9,doc 10,protocol modul,servic interfac,protocol framework,adapt group commun middlewar,modul,protocol,special object for indirect commun,new abstract for implement,service-bas protocol framework,adapt group commun
10,doc 11,data center,migrat,wide area,server migrat,virtual server,tight recoveri point object,dynam storag replic technolog,internet for mission critic busi,disk storag for store data,design for live servic migrat
11,doc 12,adapt engin,metric,metric collect,mobil object,onlin metric collect strategi,specif compon includ host manag,mobil object framework,solut for dynam metric collect,worst case perform,host manag
12,doc 13,co-alloc,data grid,replica select,replica,data transfer,variou client-serv link,co-alloc grid data transfer architectur,data grid environ,basic templat for resourc manag,replica server
13,doc 14,sensor node,spotlight devic,local error,cost for tini sensor node,spotlight,xsm mote,point scan event distribut function,area cover,line scan event distribut function,wireless sensor network
14,doc 15,alloc polici,work unit,adapt multi-polici grid servic,node,blast,databas segment,grid node,alloc strategi,adapt task alloc framework,blast search
15,doc 16,trial structur,molecular conform space search program,conform space search,conflex-g,load imbal,omnirpc,reliabl conform space search program,optim trial structur,worker program,molecular mechan
16,doc 17,bloom filter,summari ticket,high bandwidth data dissemin use,high bandwidth data dissemin,prefer method for deliv content,tremend promis for multicast-styl applic,build high bandwidth overlay tree,bullet,high bandwidth data dissemin center,random subset contain summari ticket
17,doc 18,apocrita,node,common place broadband internet access,distribut index,file,document for variou purpos,document,solut for local document,initi node,index
18,doc 19,share work environ for group,typic internet,version number,millisecond round trip time,common task,cooper web cach techniqu,perform penalti for transact applic,typic internet latenc buddycach,byte for program languag object,page version number
19,doc 20,context provid,context inform,negoti,provid context,pervas environ,pervas comput,context-awar applic util context inform,appropri context inform,appropri context,appropri context provid
20,doc 21,pairwis key,sensor network,pairwis key establish,pairwis key establish algorithm,new pairwis key establish algorithm,hierarch hypercub model,tradit pairwis key establish techniqu,direct pairwis key,sensor node,key predistribut
21,doc 22,encrypt,access control,mechan for authoris event client,commun mechan for build internet-scal,event type,enforc access control,event type specif encrypt key,model for encrypt event content,event content,access control polici
22,doc 23,congest control,peer,deliv qualiti,peer-to-p overlay for stream applic,high churn rate,avail bandwidth,parent,solut for construct peer-to-p overlay,key compon,main criteria for parent select
23,doc 24,edg index,biggest challeng for game develop,index method,object pop problem,real time,view model,virtual environ,spatial databas problem,cell evalu,tradit visibl determin approach
24,doc 25,repeat combinatori auction,node hour,auction,bid,node,resourc alloc,basi for motiv research effort,mirag,combinatori auction,strateg behavior
25,doc 26,techniqu for determin expans term,user interfac for seek inform,user person inform repositori,enhanc method for web retriev,user person inform,queri,expans term for web search,person inform repositori,desktop,global co-occurr statist
26,doc 27,contextu factor,domain model,previou studi,queri,context word,term relat,user profil,inform retriev user queri,document,inform need
27,doc 28,diari studi,re-find,web page,email,pim,re-find inform,perform pim evalu,email messag,re-find task,pim evalu
28,doc 29,passag,novelti detect,adapt filter,logist regress,rank list,semi-automat procedur for acquir rule,answer key,arbitrari span,nugget,strategi for long-last inform need
29,doc 30,bayesian hierarch model,bayesian hierarch linear model,m step,hierarch model,user m,bayesian hierarch model approach,custom recommend for addit product,user model,user,e step
30,doc 31,relev judgment,confid,judgment,test collect,document,robust test collect,confid estim,maximum entropi distribut for relev,acquir relev judgment,result
31,doc 32,search result,organ search result,search engin,search engin log,commerci search engin log data,past queri,southwestern colleg jaguar softbal team,cluster search result,search log,star cluster algorithm
32,doc 33,global regular,cluster,local regular,document,data point,regular linear label predictor,regular paramet,typic bottom-up hierarch cluster method,clgr,specifi search for document
33,doc 34,imag,activ learn,relev feedback,real world,imag retriev,relev feedback imag retriev,laplacian optim design,novel activ learn algorithm,experiment design,activ learn algorithm
34,doc 35,snippet,document,search engin,snippet gener,snippet engin,snippet gener time,gener algorithm for score sentenc,fast snippet gener process,current www search engin,web search engin
35,doc 36,caption,search engin,commerci web search engin,web search,queri term,clickthrough,simpl caption featur,web search engin,user web search behavior,snippet
36,doc 37,novel web search interact featur,basi for comput sourc author,popular destin,exploratori task,trail,web activ log contain search,web search interact,unaid web search,search result,exploratori search task
37,doc 38,post list,new algorithm for static cach,cach,hit rate,cach post list,static cach,search engin,web search engin,cach queri answer,miss rate
38,doc 39,search engin,prune,prune polici,invert list,invert index,prune index,correct indic function,prune index for variou reason,fierc competit,queri load
39,doc 40,topic segment,term weight,mutual inform,share topic,stop word,segment,term cluster,share topic detect,tradit approach use similar measur,weight mutual inform
40,doc 41,unsupervis greedi event detect algorithm,power spectrum,aperiod,spectral analysi,featur for differ event characterist,period event,unsupervis greedi event detect,event detect,news stream,event
41,doc 42,stori,compar time,tf-idf model,differ effect for ned task,differ effect for differ class,new event,detect procedur,new event detect,minimum normal cost,adjust term weight
42,doc 43,search result,search engin,relev advertis alongsid search result,good result for frequent queri,queri classif,queri,web search result,use search result,extern knowledg,rare queri
43,doc 44,post-queri brows,advanc syntax,advanc search engin user,search engin,search engin user,better understand,advanc search,post-queri navig,search success,advanc user
44,doc 45,term feedback,cluster-bas method for select term,term feedback for inform retriev,queri model,present term,relev feedback,feedback document,method for present term select,languag model,user for judgment
45,doc 46,non-relev document,document,rank,map perform,trec web track,retriev function,rocarea,averag precis,exist approach optim map,gener svm learn algorithm
46,doc 47,feedback model,origin queri,document,feedback,top-retriev document,current algorithm for pseudo-relev feedback,languag model,baselin feedback method,baselin feedback,individu feedback model
47,doc 48,markov random field,relev model,latent concept,latent concept expans,model for inform retriev,markov random field model,robust queri expans techniqu,data set,mechan for model term depend,mrf model for inform retriev
48,doc 49,multivari bernoulli,languag model,poisson,exist queri gener languag model,two-stag smooth,repres trec test collect,poisson languag model,poisson distribut model term frequenc,multinomi languag model,queri gener model
49,doc 50,nugget,definit question answer,definit question,question answer,inform nugget,answer set for definit question,georg foreman,sentenc,human reader,googl definit googl search engin
50,doc 51,abort,appli for clearanc,agent,technic challeng,support meet submiss,handl unsuccess task,bdi agent intellig agent,abort task,oper semant,result
51,doc 52,meta-level inform,negoti,success probabl,pre-negoti phase,agent,negoti chain,distribut center,meta-level coordin,singleag concurr negoti framework,global negoti chain context
52,doc 53,resourc alloc,agent,resourc load,histor inform,share resourc,resourc alloc problem,induct reason,self-organis agent-bas resourc alloc,multi-serv environ distribut applic,manag layer for decis support
53,doc 54,agent,commit,acl,acl semant,dynam semant,semant,compliant,semant state,speech act,behaviour
54,doc 55,backward induct,condit commit,agent,import for interact softwar agent,pareto effici,strategi profil,extort,differ commit type,commit type,mere interact decis theori
55,doc 56,agent,commit,proof search,tempor linear logic,resource-rel reason for interact protocol,intern enforc mechan for commit,mer,unnecessari constraint,cu credit,credit payment
56,doc 57,agent,increment multi agent concept learner,concept learn,ma consist,boolean formula,current hypothesi,sound multi-ag increment learn,learn,sound multiag increment learn,updat mechan
57,doc 58,agent,bee,pheromon,emot,intern state,plan recognit,agent extern behavior,bee cycl bee major innov,ghost,agent emot state
58,doc 59,distribut function,agent,fast-pac domain,interrupt,interrupt cost,mean for comput probabl distribut,empir set for evalu,direct observ,result,owner
59,doc 60,search session,relev document for incom queri,rout polici,agent,expect util,neighbor agent,relev document,relev document for specif type,incom queri,reinforc learn
60,doc 61,inform provis abil,inform provis,agent,acquaint,indic for rout queri,token-bas method for inform share,combin rout indic,local repositori,rout indic,method for inform search
61,doc 62,advertis agent,advertis cycl,bid strategi,first-pric seal bid auction,simpl bid strategi,advert,agent,advanc bid strategi,advertis,expect util
62,doc 63,agent,satellit swarm,time t,satellit,reactiv decis rule,comput capabl,request,method for request alloc,conflict,desir date for data
63,doc 64,global bidder,local bidder,best respons,symmetr nash equilibrium,simultan auction for complementari good,optim bid strategi,bidder,agent,autonom agent,expect util
64,doc 65,banzhaf index,network flow game,banzhaf,agent,target vertex t,flow,network flow domain,gener network flow domain,simpl coalit game,banzhaf power index
65,doc 66,market barrier,agent,barrier,degre distribut,product,referr,word-of-mouth commun,extern constraint,market,result behaviour effect
66,doc 67,cognit load,share mental model,mental model,secondari task,share belief map,belief map,share belief map concept,hmm-base cognit load model,team member,human-ag collabor human team member
67,doc 68,partnership,agent,two-sid parallel econom search model,decis make,distribut mechan for form agent,two-sid econom search model,two-sid econom search,central match mechan,potenti partner,potenti partnership
68,doc 69,schedul,agent,non-loc option,core local problem solv infra-structur,flexibl time represent,flexibl time,non-loc option gener,simpl tempor network,flexibl time schedul,basi for distribut coordin
69,doc 70,social network,task alloc,agent,social relationship,task alloc problem,social task alloc problem,suppli chain,upper bound,suppli chain format,recent year
70,doc 71,social welfar,judgment aggreg,social welfar function,major vote,discurs paradox,judgment aggreg rule,aggreg rule,agent,prefer aggreg,social choic
71,doc 72,adversari environ,adversari,log file,agent,mental state,bound ration agent,design guidelin for agent design,adversari environ model,model definit for mental state,follow list specifi new predic
