,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,hyarm,video,resourc,dre,resourc util,uav,multimedia,qo requir,base station,applic,util,station,end receiv,frame rate,adapt
1,doc 2,tigr,gridway,grid,enkf,licens,job,ensembl,mpi,grid-en,geolog model,eclips,metaschedul,sub-job,simul,resourc
2,doc 3,msp,node,scan,node sequenc,sequenc,anchor,target node,event,basic msp,flip,sequence-bas msp,protect band,band,local,locat
3,doc 4,node,sensor node,color,sensor,local,label,imag,imag process,relax,light,stardust,radio,label relax,connect,node id
4,doc 5,sensor,skip graph,proxi,tsar,skip,data,index,storag,interv,queri,interv skip graph,flash,lookup,summari,archiv
5,doc 6,zone,dim,queri,node,event,code,gpsr,zone code,rang queri,insert,owner,network,sensor,perimet,messag
6,doc 7,node,messag,contact,rout,protocol,rout protocol,mobil,deliveri,opportunist network,destin,network,contact probabl,deliveri ratio,probabl,ttl
7,doc 8,hiker,wit,cenwit,node,sensor,record,wit inform,wit record,leader,partit,locat,memori,inform,partit leader,access point
8,doc 9,dr vector,export,error,export error,receiv,vector,player,sender,schedul,delay,dri,game,base case,send dr vector,entiti
9,doc 10,site,lag,gs-dr-ll,network transmiss delay,inconsist,remot site,transmiss,state updat,gs-dr,entiti,delay,local site,site j,state,remot
10,doc 11,client,sand,server,appoint,spatial,data,client-serv,browser,internet browser,spatial data,sand internet browser,databas,spatial databas,activ client,internet
11,doc 12,locat,sensor,symbol locat,user,group,context,group interact,messeng,symbol,proxim,giss,fusion,chapter,context inform,attribut
12,doc 13,execut,process,process coordin,activ,grid,control,process execut,prime,group,process element,prime number,group manag,support infrastructur,infrastructur,activ manag
13,doc 14,cglf,congest,agent,strategi profil,congest game,resourc,game,profil,strategi,potenti function,pure strategi,ds-stabl,failur probabl,pure,cost function
