,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
0,doc 1,wavelength servic,quick turn-up time,hype ad nauseam for year,impress margin,lukewarm recept,industri expect,wait,confus,reason,wave
1,doc 2,nuvox,stay power,new cash,nuvox commun posit,new market,cash in today,long run,fund,market,credit
2,doc 3,seen infus of insid invest,month point,beleagu sector,rash of insid buy,crown castl intern,stock,charter commun,cox commun,vote of confid,nextel commun
3,doc 4,adapt robust state feedback control,state feedback control,feedback control,problem of adapt robust stabil,unknown bound of uncertainti,nonlinear uncertainti,control scheme,disturb,bound,class
4,doc 5,slide mode,slide mode control,switch line,reach phase,discret output,predetermin switch line,initi condit,switch line techniqu,switch variabl,reach law approach
5,doc 6,conveyor-bas continu flow transport technolog,need for autom,convent car-bas wafer-lot deliveri,softwar simul,mm conveyor-bas amh,deliveri time,autom,benefit,throughput advantag,mm fab
6,doc 7,incid wave,algorithm for space-tim modul,nonreson parametr microstructur,coat,one-dimension boundary-valu problem,low-frequ incid wave,consid algorithm of parametr control,fast time modul of paramet,controlled-lay structur,mechan model
7,doc 8,conjunct oper,fuzzi model,gener conjunct oper,tune of parametr conjunct oper,tune of membership function,new conjunct oper,parametr class of conjunct,approxim perform,tune,paramet
8,doc 9,rule-bas structur,fuzzi rule-bas model,rule-bas model,compact form of fuzzi rule,inform rule,exist rule,nonit updat,new rule,rule-bas evolv,control of complex process
9,doc 10,quasi-weight mean,quasi-linear mean,simpl case,use of parametr function,known arbitrari gener f,weight,gener case,determin of weight,learn of weight,set of exampl
10,doc 11,formal model,fuzzi automata,word classic automata,new kind of fuzzi automata,like classic automata,string of input symbol,gener of classic automata,new fuzzi automata,string of fuzzi subset,certain vagu
11,doc 12,type-reduc set,new mathemat interpret,bound set,karnik-mendel iter procedur,outer-bound set,fuzzi logic,uncertainti,new design method,simul experi,interv
12,doc 13,polynomi neural network,fuzzi model,neural network,fuzzi neural network,hybrid architectur of fuzzi model,case of convent neural network,hybrid model architectur,group method of data,introduc concept,fpnn result
13,doc 14,qualit fuzzi model approach,model investig sugeno,improv paramet identif algorithm,trapezoid approxim of membership function,yasukawa,select of import variabl,implement solut,fuzzi model,origin paper,method perform
14,doc 15,adapt control,radial basi function neural network,adapt control methodolog,direct adapt control method,input-output feedback lineariz,adapt control method guarante,interpol of nonlinear subsystem,fuzzi control,practic import,time-vari structur
15,doc 16,linguist fuzzi c-mean,extens principl,standard membership updat equat,fcm,effici implement,huge comput complex,linguist vector,decomposit theorem,effici method,degener linguist case
16,doc 17,singl loop fuzzi control,fuzzi control,modifi error,central decoupl unit,equal number of input,control concept,interact loop chang,decoupl,feedback control,adapt techniqu
17,doc 18,genet algorithm,pid control,multiobject robust control design,multiobject problem,accept solut,feedback interconnect,pid,plant,set of specif,multiobject optim
18,doc 19,qualit bond graph,fault diagnosi applic,fault diagnosi,float disc experiment setup,possibl fault compon,genet algorithm,integr of genet algorithm,model scheme,problem of fault diagnosi,set of qualit equat
19,doc 20,barrel temperatur control for extrud,model predict control,strict closed-loop perform requir,challeng control problem,multipl zone,temperatur,fast startup,control strategi,multipl paramet pid,regul
20,doc 21,frequency-domain respons,frequency-domain respons practic requir,pid control,term of time-domain respons,requir time-domain respons,rise time,suboptim pid control,reson peak,stabil margin,follow problem
21,doc 22,id s,pid standard,isa dictionari definit for p,standard set of symbol,long exist,continu problem,process work,confus inform,interconnect of process equip,princip document
22,doc 23,fuzzi event detect,process event incorpor expert,supervisori control design,supervisori control scheme,anticip of appropri control action,fuzzi event detector,oxichlorin reactor,propos supervisori control scheme,linguist model,kind of detect
23,doc 24,new tune method,pid control design method,perform assess formula,genet algorithm,pid control,tune method,correspond perform assess rule,use simul studi,tune formula,control paramet
24,doc 25,lqg benchmark,control perform,close loop condit,data driven subspac approach,linear quadrat gaussian,lqg tradeoff curv,optim lqg-benchmark varianc,new method,explicit parametr model,varianc of process input
25,doc 26,out-of-print materi,recur issu,materi for new cours,chang practic,out-of-print literatur,out-of-print,miss copi,gap in collect,weak collect,strong collect
26,doc 27,pilot project,patron,result of enthusiast patron comment,just-in-tim acquisit,previou monograph loan,order criteria,result patron comment,book,titl,purchas
27,doc 28,music,success acquisit of out-of-print music,appropri technic music vocabulari,music publish industri,scholarli edit,perform edit,special publish,out-of-print,method of acquisit,need for familiar
28,doc 29,symbol set,neural network,new symbol set,unseen symbol set,abstract rule,new symbol vocabulari,sequenc of arbitrari input symbol,abstract represent,similar grammar,grammar
29,doc 30,hierarch mixtur model,follow data gener process,posterior probabl of class membership,finit number of sourc,classif,mixtur of expert classifi,gener train approach,gener mechan,expert,effici train algorithm
30,doc 31,singl process linear threshold element,artifici neural network,odor discrimin,capac for linear separ,discrimin,critic capac,singl target odor,linear separ of curv,rang of odor concentr,potenti comput properti
31,doc 32,action-recoveri model for synapt depress,stochast fitzhugh-nagumo model,auditori,optim in auditori inform process,estim of weak sinusoid signal,inform process perform,overal model,hair cell,number of fundament limit,inform process
32,doc 33,preintegr later inhibit,neural network,mechan for competit,altern neural network architectur,postintegr later inhibit,form of competit,inhibit,compet,right,code properti
33,doc 34,construct of panoram imag mosaic,local align,origin paper,correct,incorrect equat,ibid,correct formula,construct,mistak,vol
34,doc 35,semigeodes coordin,mean curvatur,arbitrari direct,multi-scal curvatur comput,geodes,estim error of gaussian curvatur,estim of smooth surfac curvatur,mean curvatur valu,smooth result,local parametris
35,doc 36,differ scene illumin,scene plenopt function,modifi scene,distinguish featur,new volumetr decomposit techniqu,imag propag,image-bas scene represent,differ scene,affect scene appear,consist
36,doc 37,calibr paramet,imag deriv,imag motion field,linear pinhole-camera model,rotat compon,tool for analyz imag sequenc,unknown paramet,comput of optic flow,normal flow measur,imag format
37,doc 38,arbitrari number point light sourc,point light sourc,combin motion,singl static camera,singl point light sourc,exampl of automat surfac reconstruct,linear intens subspac,arbitrari unknown object motion,surfac reconstruct,lambertian surfac structur
38,doc 39,inform architectur,variou form of commun infrastructur,passel of local profession group,practic inform architect,field of inform architectur,degree-gr academ program,field,vibrant group,bit,variou form
39,doc 40,content-bas bilingu web site,inform architectur,issu for bilingu develop,web site,abstract structur analysi,multilanguag site,use of card-sort activ,present of bilingu materi,bilingu web design,bilingu card-sort activ
40,doc 41,new urban,new urban internet,challeng for inform architect,web site,new urban principl,design network environ,livabl commun,street,parallel,path of chang
41,doc 42,model of inform interact,inform architectur,context for inform architectur,navig aid,inform inform architectur,blueprint,no-man land,framework,peopl,navig
42,doc 43,better interfac,law enforc agenc,law enforc user,usabl,rm expert,inform architectur,easi navig,good interfac,effici navig,user studi
43,doc 44,pervas comput,mckesson,pervas comput applic,provid of mobil infrastructur softwar,paperless offic,loss of valuabl product,key manag,healthcar supplier,san francisco,avantgo
44,doc 45,power industri,grow pressur,cost of electr power,skill of key perform,recent year,knowledg manag,skill,novel approach,brain-drain,eskom
45,doc 46,fuzzi set theori,fuzzi linear regress,fuzzi set,sale level of comput equip,possibl level of inform technolog,applic of fuzzi linear regress,inform technolog,inform technolog in turkey fuzzi,independ variabl,turkey
46,doc 47,high-end comput market,new product innov,low-end person comput market,high-end market,context of standard theori,perspect of govern research,technolog chang,develop spend,key compon,trend in high-end comput
47,doc 48,conceptu framework,intang benefit,conceptu framework for evalu,risk factor,need for futur expans,inform technolog,intang benefit factor,inform technolog invest,new inform technolog,current inform requir
48,doc 49,tc valu,cross section,realist raindrop,t-matrix method,use t-matrix method,data for variou dimens,data bank,mean effect radiu,curv fit techniqu,larg number
49,doc 50,vendor-run accredit scheme,job applic skill,object measur,qualif,staff,vendor,network,job,case,extent
50,doc 51,san,capac,storag,money,cost,manag,build,area,network,channel
51,doc 52,firewal,pci card,slotshield,power,space,data,secur,network,,
52,doc 53,pitfal,asset,consult,success,manag,,,,,
53,doc 54,uk-bas stream media specialist twofourtv,chief oper offic,mark hawkin,stream media,staff in pictur,corpor intranet,staff,mark,intranet,firm
54,doc 55,java,test sun microsystem,java verif program,cross-platform portabl of applic,softwar vendor,sun,compani,test,aim,assess
55,doc 56,hotel secur,overal hotel secur plan,observ staff interact,secur realiti of site manag,lodg establish,deter crimin,eye,hotel oper strategi,clientel,rang of object
56,doc 57,e-mail carri virus,recent klez worm use,e-mail,simpl techniqu,vulner,worm,decept,onlin,virus,simpl
57,doc 58,distinguish of quantum state,orthogon single-photon state,explicit express,time t,special rel,distinguish of orthogon quantum,interv of time t,constraint,quantum,probabl
58,doc 59,subsequ ultrathin-lay gel electrophoresi,computer real time data analysi,ultrathin-lay gel electrophoresi,dna large-scal genotyp,express profil requir,submicrolit size pcr reaction,current manual procedur,sampl load robot,real time,laser-induc fluorescence-avalanch photodiod detect
59,doc 60,health care,short-term strategi,mind,health,simpl,programm,deliv,time,strategi,
60,doc 61,in-hous,lead public softwar packag,current capabl,date,supplier,survey,publish,report,current,public
61,doc 62,write,request for propos,fulfil rfp,format,rfp,publish,pro,look,make,propos
62,doc 63,support servic for resourc contributor,librari servic today,digit librari,digit librari of instruct resourc,instruct resourc,teach resourc,same-an open commun of instructor,emerg experi,distribut ilumina librari,non-commerci instruct resourc
63,doc 64,canadian nation site licens project,three-year pilot project,histor inter-institut agreement,electron version of scholarli public,opportun for subsequ phase,full-text electron journal,research databas in scienc,preliminari observ on challeng,cnslp,initi phase
64,doc 65,nation electron site licens initi,nesli,licens agreement on behalf,model licens agreement,success of site licens,electron journal,interim evalu,academ librari,electron,key issu
65,doc 66,council of australian univers librarian,role of consorti purchas agent,associ organis in australia,burgeon of electron public,council of australian librari,purpos of cooper action,consortia in north america,new zealand,australian univers commun,purchas
66,doc 67,netherland,wide rang of scientif inform,new way of provid inform,licens strategi of univers librari,licens experi,document server,univers polici,research public,elsevi scienc,nation agreement
67,doc 68,promis futur librari consortia,librari consortia,resurg consorti movement,agenda for action,intern coalit of librari consortia-icolc,consorti purchas model,posit start,north america,current work,consortia
68,doc 69,digit librari interoper,digit librari,open archiv initi,effect digit librari interoper,realiz simpl,creation of interoper digit librari,metadata harvest protocol,simpl protocol,oai,provid of user servic
69,doc 70,electron book,content standard,open ebook forum public structur,xml-base specif for electron book,oebf public structur,underli framework of content standard,constraint for publish,success real-world standard develop,sound engin model,emerg world
70,doc 71,scholarli publish project euclid,scholarli commun,duke univers press,chang pattern,scholarli publish,role of research librari,publish scene of mathemat,manag of digit librari,electron journal,broader context
71,doc 72,potenti for scholarli onlin book,onlin book,potenti marketplac arrang,scholarli life,perspect,scholar greater opportun,lower cost,print book,studi,issu
72,doc 73,california digit librari,escholarship program,univers of california,digit librari,faculty-l innov in scholarli publish,short life,visibl accomplish,cdl,best indic,univers
73,doc 74,uniqu electron journal publish project,new model for scholarli publish,scholarli publish,plu librari consortium,american institut of biolog scienc,bioon,academ resourc coalit,new model,full-text societi journal,electron journal
74,doc 75,scholarli commun,research librari,innov new model of publish,long tradit of collabor,exampl of joint effort,symbiosi,work relationship,econom of librari,alien,new model
75,doc 76,machin tool,impact of specif oper condit,effect predict of thermal error,thermal error in machin tool,oper condit,power data-train algorithm,variat in oper condit,pc-base open-architectur control environ,temperatur of critic element,purpos of period calibr
76,doc 77,adapt algorithm for mutual exclus,remot step complex,effici mutual exclus,point content,total number of process,maxim number of step,algorithm execut,complex of algorithm,number of process,activ process perform
77,doc 78,congeni talk philosoph problem,comput network,comput network group mutual exclus,solut for share memori model,solut for congeni talk philosoph,algorithm for ordinari mutual exclus,process of differ group,differ disc,current disc,ordinari mutual exclus
78,doc 79,synchron self-stabil,synchron self-stabil protocol,synchron network of n processor,neglig loss in quiescenc time,nonreact behaviour,addit knowledg,case of uniqu identifi,wide rang of model,drastic increas in asymmetri,previou propos
79,doc 80,algorithm for two-process wait-fre test-and-set,elementari step,two-process wait-fre test-and-set,proof of correct,random,finite-st analysi,reset,reader,current,expect
80,doc 81,microsoft project,new web-bas collabor tool,microsoft,enterpris debut,enterpris,aim,project,manag,make,budget
81,doc 82,adob goliv,strong contend for web author,flexibl gui environ,comprehens workgroup,collabor server,asset,version,featur,flexibl,comprehens
82,doc 83,technolog like raid,custom softwar on remot host,freshwat softwar,discov pattern in failur,web site,mercuri interact activewatch,subsidiari of mercuri interact,differ mix of featur,freshwat softwar sites,activewatch
83,doc 84,access stream content,offer qualiti servic,spec for multimedia project,stream content develop,content make,access of stream content,stream media,web site,grow number,access sound effect
84,doc 85,increas complex,web perform monitor,best possibl perform,web infrastructur,hand of use tool,big pictur,complet view,knowledg of network,web site,big
85,doc 86,usabl test,integr invest in site develop,usabl,usabl test in-hous,better result,standard approach,cultur of usabl,break test,cultur,manag session
86,doc 87,wide varieti of debug tool,bug in web-bas applic,author consid,right tool,program practic,arm,author,track,right,web
87,doc 88,java secur sandbox program model,c-like concept,looser approach,includ pointer,sun,memori manag,java,unsaf code,speed,microsoft
88,doc 89,build digit collect,current strategi,need for user tool,digit collect,oac,onlin archiv of california,virtual collect,user need,explor of user,recent develop
89,doc 90,gener intern standard archiv descript,util of archiv descript data,legaci data,collect data hous in order,end user in unmedi set,mediat access tool,need of end user,descript standard,virtual collect,strong indic
90,doc 91,virtual collect,virtual collect virtual collect,distinct sub-speci of digit collect,curat,digit archiv,archivist,digit collect,descript standard,descript,applic
91,doc 92,labor movement,cultur chang labor union,need for labor archivist,american labor movement,labor archivist,labor archiv program,pilgrim progress,obtain union cooper,obsolet deposit agreement,record of close district
92,doc 93,institut goal for ead implement,ead,archiv program,pilot survey of earli implement,implement of encod archiv descript,evalu of ead program,impact of ead adopt,gather data,impact,survey
93,doc 94,digit access,archiv materi,direct physic access,primari sourc materi,student learn,archiv practic,nonelectron project,archiv web site,instruct,librari of congress
94,doc 95,archiv imagin,archiv manag of electron record,archiv imagin of david bearman,write of david bearman,bearman,element of henri critiqu,archiv theori,form of record,new paradigm,avant-gard
95,doc 96,molecular surfac,identif of complementari surfac patch,solut of molecular dock problem,overlap surfac patch,complex structur,quantit treatment of complementar,fuzzi logic,downhil simplex method,biomolecular complex,standard technolog
96,doc 97,model approach of molecular surfac,molecular surfac,fuzzi set theori,surfac for character,hydrogen bond densiti,similar molecular properti,topograph properti,pattern gener,fuzzi set,calcul method
97,doc 98,parallel algorithm avoid synchron delay,effici parallel algorithm,previou serial algorithm,saebo-almlof direct-integr transform,second set of slave,basi function,parallel version,modern pc-base parallel comput,small number of processor,effici prescreen
98,doc 99,conform space,method for correl analysi,applic for molecular conform,conform space of complex molecul,new method,molecular coordin,multidimension structur characterist,correl matrix,coordin,relat conform space
99,doc 100,genet algorithm,variabl select,select method,variabl select method,simpl encod scheme,subset select method,encod variabl,compound subset,ga method,multipl model
100,doc 101,molecular equival number,set of function group,topolog shape,mdl drug data report,random sampl,divers chemic librari,util of molecular equival indic,structur featur,differ type of meqnum,meqnum
101,doc 102,neural network,use of neural network ensembl,gener perform,ensembl techniqu,ensembl method,common ensembl techniqu,structure-properti correl,qspr,accur predictor,train paramet
102,doc 103,larg compound pool,larg compound,median partit,novel method,larg compound collect,select of repres subset,pairwis comparison of molecul,divers set of molecul,array of properti descriptor,calcul of molecular descriptor
103,doc 104,molecular descriptor,data set,analysi scale,dispar descriptor,common scale,number of molecular properti,analysi of chemic properti,difficult issu,meaning scale,molecular topolog
104,doc 105,mtd method,enzymat acet acid ester,valu for fragment volum descriptor,valu for fragment hydrophob descriptor,pls-base variant,sar qsar environ,variou kind of local interact,acetylcholinesteras hydrolysi substrat,pl variant,signific mtd-pl model
105,doc 106,quantit structure-properti relationship,divers set of organ compound,squar correl coeffici,rel respons of organ molecul,sum of zindo oscil strength,spectrophotometr detect,comput model,seven-descriptor linear correl,ultraviolet,organ chemistri
106,doc 107,substructur molecular fragment method,macrocycl effect,substructur molecular fragment,stabil constant,differ fragment set,alkali cation,forty-seven comput model,complex of crown-eth,nonlinear fit equat,crown-eth
107,doc 108,linear extens,quantit structure-act relationship model,model order,rang of possibl end-point valu,experiment order,end-point valu,predict power,end point,simpl method,so-cal linear extens
108,doc 109,ze-isomer descriptor,novel ze-isomer descriptor,qsar analysi,two-dimension molecular topolog,topolog chiral descriptor,inabl of convent topolog indic,mathemat properti of differ subgroup,molecular topolog,vertex degre of atom,applic of ze-isomer descriptor
109,doc 110,intern student,univers intern student,small southwest univers,data collect procedur,preliminari studi,faculti member,quantit data,improv languag skill,strong consensu,studi premis
