,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
0,doc 1,uddi,registri,dht,uddi registri,scalabl,servic,grid,queri,result,web servic,hash,multipl registri,autonom control,proxi registri,essenti for the success
1,doc 2,processor,weight averag,node,monitor period,cluster,weight averag effici,averag effici,runtim,resourc,resourc select,adapt,network link,overload,scenario,grid
2,doc 3,packet,best effort,frame,voic,flow,decod,conceal,burst loss,burst,loss,model,intra-flow,speech qualiti,voic frame,packet loss
3,doc 4,content manag,spectrum,storag,polici,continu media,network,store,media,spectrum architectur,polici manag,function,content,system,video record,media content
4,doc 5,document state,ot algorithm,oper,document,oper context,transform,undo,context,causal,invers oper,transform oper,invers,origin oper,context-bas,captur essenti
5,doc 6,servic,servic environ,resourc,resourc manag,environ,eda,migrat,node,infrastructur,fragment object,decentr,grid,decentr adapt,adapt servic,home
6,doc 7,sensor,target,path,exposur,prob,detect,target detect,deploy,path exposur,region,travers,measur,fusion,problem,paper
7,doc 8,conferenc,confer,client,audio,voip,network,mix,floor control,internet,qualiti,number,applic,floor,audio confer,interact
8,doc 9,worm,swarm,swarm worm,infect,host,zachik,password,agent,zachik worm,behavior,action,emerg intellig,rate,model,distribut control
9,doc 10,servic interfac,protocol modul,modul,protocol framework,stack,protocol,event,service-bas,servic,event-bas,event-bas framework,repli,interfac,framework,protocol stack
10,doc 11,data center,migrat,server migrat,storag,outag,virtual server,center,wan,network,lan environ,mainten event,replic,server,context awar,servic
11,doc 12,mobil object,metric,mobil,object,mobjex,metric collect,adapt,runtim,mobil applic,solut,collect,applic,implement,case,object framework
12,doc 13,data grid,wait for the slowest,data,co-alloc,server,replica,grid,wait for the slowest server,data transfer,slowest server,idl time,transfer,dataset,replica select,scheme
13,doc 14,sensor node,sensor,node,local,hardwar,cost,wireless sensor,wireless,locat,devic,network,spotlight,system,local system,rang
14,doc 15,blast,grid,sequenc,align,alloc,work unit,alloc polici,task alloc,task,self schedul,packageblast,work,node,strategi,master
15,doc 16,trial structur,worker,grid environ,conflex,load imbal,conflex-g,omnirpc,trial,structur optim,worker program,rpc,cluster,remot execut,comput resourc,optim time
16,doc 17,bullet,summari ticket,overlay,overlay tree,tree,node,bandwidth,receiv,random subset,mesh,data,avail bandwidth,network,high bandwidth,miss data
17,doc 18,document,file,file share,edit,organ,apocrita,share,user,access,distribut,variou purpos,case,author document,organ thi access,simpli view
18,doc 19,buddycach,collabor applic,client,object,latenc,collabor,cach,access,server,perform,group,network,share object,effici access,storag
19,doc 20,context provid,negoti,context inform,reach agreement,provid context,reward,offer and reward,proce,inform,appropri context,ept,alloc the proce,util,reput,qoc
20,doc 21,pairwis key,sensor network,hierarch hypercub,hypercub model,sensor node,direct pairwis,predistribut scheme,pairwis,sensor,key establish,iiil n,hierarch hypercub model,cluster deploy,pairwis key establish,deploy sensor
21,doc 22,publish subscrib,event type,access control,encrypt,broker network,broker,encrypt key,ibib ib,subscrib,publish,multi-domain publish,network,event content,encrypt event,authoris
22,doc 23,peer,overlay,pro,particip peer,deliv qualiti,bandwidth,parent,parent peer,receiv,receiver-driven,framework,framework for architect,peer-to-p,deliv bandwidth,paper
23,doc 24,user,object,visibl,world,index,dynam extens,spatial index,virtual,spatial,virtual environ,server,game,second,applic,sub-world
24,doc 25,node hour,auction,mirag,repeat combinatori,bid,hour,combinatori auction,node,resourc,repeat combinatori auction,alloc,resourc alloc,strateg behavior,-node,strategyproof
25,doc 26,keyword,queri,desktop,document,expans,user s,algorithm,co-occurr,user,web,person,co-occurr statist,search,log,compound
26,doc 27,domain model,contextu factor,previou studi,measur without fb with fb,term relat,document,queri,avgp recal,dom,domain,disk -,inform need,context word,context,contextu
27,doc 28,pim,re-find,re-find inform,inform,evalu,task,pim evalu,peopl,manag,person inform,manag and re-find,person,difficulti,re-find task,inform manag
28,doc 29,passag,adapt filter,novelti detect,novelti,document,arbitrari span,queri,feedback,logist regress,relev,user,rank list,text,span,user feedback
29,doc 30,bayesian hierarch,user,recommend,learn,model,model paramet,user profil,inform,bayesian,profil,paramet,hierarch,million,algorithm,hierarch model
30,doc 31,judgment,confid,document,relev judgment,relev,rank,evalu,topic,confid estim,estim,reusabl,averag precis,test collect,expert,system
31,doc 32,search result,cluster,search,result,jaguar,interest aspect,label,user,past queri,search engin,topic,search log,queri,interest,aspect
32,doc 33,cluster,data point,global regular,document,dataset,matrix,regular,local,clgr,local regular,document cluster,cluster method,method,label predictor,eigenvalu decomposit
33,doc 34,imag,activ learn,imag retriev,experiment design,relev feedback,label,retriev,learn,design,optim design,laplacian optim design,inform,laplacian optim,algorithm,cbir
34,doc 35,snippet,document,search,cach,result,ram,queri,compress,page,search engin,use,snippet gener,gener,web search,file
35,doc 36,caption,snippet,page,search engin,url,web search,titl,result,queri term,search,web,queri,user,influenc,featur
36,doc 37,trail,destin,queri,search,user,inform,popular destin,popular,suggest,page,web search,search result,search engin,web,visit
37,doc 38,cach,post list,static cach,post,queri,static,list,answer,search engin,dynam cach,cach post,cach post list,engin,cach queri,effici
38,doc 39,search engin,prune,prune polici,size s,prune index,p-index,correct indic,invert index,document,tier,invert list,index,correct,engin,queri load
39,doc 40,term weight,topic segment,segment and align,stop word,term cluster,segment,mil,dynam program,multipl document,wmi,multi-docu segment,mutual inform,align,single-docu segment,share topic
40,doc 41,event,aperiod,featur,period,event detect,period event,word,detect,news,time,unsupervis,set,repres featur,analyz featur,aperiod and period
41,doc 42,stori,ned,news,new event,name entiti,event,model,indexing-tre,cluster,topic,detect,accuraci,system,term,news stori
42,doc 43,queri,search engin,classif,taxonomi,search,advertis,queri classif,search result,engin,rare queri,ad,classifi,web search,web,word
43,doc 44,search,advanc,advanc syntax,user,queri,engin user,search engin,advanc search,use,web search,search engin user,advanc search engin user,engin,success,advanc search engin
44,doc 45,feedback,term feedback,queri model,term,relev,languag model,model,document,user,queri,inform retriev,languag,retriev,judg,inform
45,doc 46,argmaxi y h y w,svm,non-relev document,rocarea,trec,rank,argmaxi y h y,trec and trec,document,non-relev,web track,averag precis,score,map,x denot
46,doc 47,feedback model,feedback,queri,document,model,top-retriev document,distribut,uncertainti,random variabl,origin queri,languag model,top-retriev,languag,black box,output
47,doc 48,queri expans,expans,expans techniqu,model,queri,latent concept,techniqu,concept expans,queri expans techniqu,latent concept expans,term depend,markov random,random field,use,markov random field
48,doc 49,languag model,poisson,smooth,multinomi,smooth method,background model,per-term,poisson model,two-stag smooth,multivari bernoulli,document,score d,accommod per-term,background,retriev
