,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
0,doc 1,registri,servic,uddi,dht,consum,success,preliminari,fee,hard,person
1,doc 2,applic,processor,resourc,node,like,wan,high-lat,good,low-lat,qualiti
2,doc 3,loss,packet,framework,interrupt,minim,maintain,disrupt,translat,distinguish,basic
3,doc 4,content,manag,polici,store,storag,logic,exchang,challeng,cumbersom,duplic
4,doc 5,oper,transform,invers,techniqu,document,year,html,xml,evolv,context
5,doc 6,servic,resourc,node,environ,rang,rise,storag,minim,webserv,deploy
6,doc 7,sensor,deploy,exposur,inform,certain,traffic,appropri,advanc,softwar,environ
7,doc 8,confer,client,packet,favour,institut,compromis,inadequaci,seek,telephon,delay-constraint
8,doc 9,worm,swarm,histori,idea,record,rise,minut,gmt,human,introduc
9,doc 10,protocol,modul,servic,event,design,altern,advanc,express,suitabl,sdl
10,doc 11,data,migrat,network,server,exclus,entertain,mission,automat,retain,host
11,doc 12,metric,capabl,laboratori,adjust,difficult,date,error,exact,research,modifi
12,doc 13,data,server,co-alloc,implement,coupl,time,transfer,integr,entail,share
13,doc 14,local,event,node,sensor,spotlight,servic,scan,high-accuraci,novel,aid
14,doc 15,alloc,furthermor,divers,frequenc,node,like,increas,expens,acm,internet
15,doc 16,use,structur,worker,program,signific,avail,challeng,attract,goal,infrastructur
16,doc 17,node,bandwidth,tree,data,bullet,receiv,overlay,prefer,softwar,video
17,doc 18,index,node,file,document,resourc,util,program,solut,aris,offlin
18,doc 19,client,object,cach,server,page,invalid,commit,confirm,distinct,group
19,doc 20,provid,context,negoti,agent,concret,map,unifi,recognit,world,sensor
20,doc 21,node,key,sensor,util,possibl,issu,role,play,nice,inspect
21,doc 22,event,encrypt,broker,attribut,subscrib,key,span,compon,cooper,space
22,doc 23,peer,parent,bandwidth,overlay,receiv,best-effort,consist,spectrum,topolog,playback
23,doc 24,index,entiti,object,edg,cell,resourc,groundwork,mmog,activ,marshal
24,doc 25,user,bid,auction,solut,resourc,integr,peer-to-p,basi,propos,valid
25,doc 26,queri,term,demand,extens,barcelona,seek,photographi,popular,author,display
26,doc 27,queri,model,domain,use,relat,suffici,document,influenc,absent,address
27,doc 28,task,inform,particip,concern,grow,procedur,owner,link,assist,popular
28,doc 29,passag,local,onlin,challeng,googl,attract,implicit,natur,ad-hoc,user
29,doc 30,user,model,servic,googl,efficaci,industri,amazon,futur,success,onlin
30,doc 31,relev,document,confid,judgment,resourc,boon,solut,re-us,assessor,guarante
31,doc 32,search,queri,result,cluster,method,car,critic,multipl,team,literatur
32,doc 33,cluster,automat,receiv,spars,import,spectrum,filter,attent,assist,complement
33,doc 34,imag,algorithm,power,distinguish,guid,field,growth,attract,motiv,extract
34,doc 35,document,queri,snippet,propos,analys,util,live,deliv,msn,descript
35,doc 36,caption,queri,result,visit,decid,clickthrough,brief,compris,overal,concis
36,doc 37,search,queri,task,subject,histori,complement,modifi,extend,extens,decision-mak
37,doc 38,queri,cach,term,resourc,instanc,speedup,post,onlin,off-lin,latenc
38,doc 39,queri,prune,index,document,result,avail,phenomenon,recommend,author,opinion
39,doc 40,segment,document,term,topic,play,applic,track,speech,captur,target
40,doc 41,featur,event,period,treat,servic,extens,world,monitor,imposs,practic
41,doc 42,stori,term,use,multipl,topic,volum,today,develop,explod,certain
42,doc 43,queri,use,search,result,classif,robust,thousand,motiv,peopl,year
43,doc 44,search,user,queri,advanc,use,challeng,altern,toler,implement,pedersen
44,doc 45,term,feedback,relev,user,queri,cluster,strategi,document,assist,line
45,doc 46,document,rank,inform,support,current,estim,map,surrog,probabl,includ
46,doc 47,feedback,model,queri,use,document,modifi,emphas,specifi,user,mind
47,doc 48,model,queri,concept,use,term,complex,ignor,requir,state-of-the-art,sentenc
48,doc 49,model,smooth,poisson,document,queri,term,languag,variant,accur,simplest
49,doc 50,nugget,topic,sentenc,definit,answer,address,respect,involv,possess,defici
50,doc 51,plan,abort,agent,task,failur,goal,analog,investig,presenc,traffic
51,doc 52,negoti,agent,task,spread,sophist,aim,applic,price,suppli,sub-task
52,doc 53,resourc,agent,server,alloc,web,facilit,internet,power,kind,interact
53,doc 54,agent,commit,semant,concret,field,pledg,adversari,abus,decept,conflict
54,doc 55,commit,player,game,condit,perform,explor,interrelationship,oppon,bound,support
55,doc 56,agent,commit,distribut,basi,open,coordin,degre,softwar,compon,evolv
56,doc 57,agent,exampl,learn,sound,level,deal,articl,characteris,extend,account
57,doc 58,agent,page,punctuat,dispar,high-level,central,challeng,frequent,motiv,date
58,doc 59,agent,owner,investig,contribut,real-tim,cooper,demonstr,clearli,concurr,priori
59,doc 60,agent,search,queri,node,peerto-p,exist,domin,peer-to-p,year,core
60,doc 61,agent,inform,network,queri,integr,interdepend,capabl,lot,impact,introduct
61,doc 62,advertis,agent,bid,user,auction,experiment,receiv,dynam,airport,investig
62,doc 63,agent,request,distribut,paper,transfer,robust,research,format,skill,studi
63,doc 64,bidder,auction,bid,global,servic,relev,hundr,demonstr,thousand,date
64,doc 65,flow,edg,game,subset,match,index,varieti,receiv,examin,polit
65,doc 66,agent,product,market,servic,includ,avail,network,stop,peopl,feel
66,doc 67,agent,load,team,model,inform,share,basi,human,seri,attract
